MN_mean	NN_mean	theta	prob	log2FC	length	GC	Chrom	GeneStart	GeneEnd	Biotype	ENSEMBL	SYMBOL	ENTREZ
ENSG00000021355	5355.99500383483	6341.7082632241	-1.59903362913588	0.953287939138652	-0.24371689596511	9628	43.07	6	2832332	2841959	protein_coding	ENSG00000021355	SERPINB1	1992
ENSG00000133193	3968.97271222183	5128.85449822713	-1.67476630172572	0.952874647855832	-0.369871000267641	29401	43.89	17	73207353	73236753	protein_coding	ENSG00000133193	FAM104A	84923
ENSG00000134294	4960.90826242053	5726.12750460775	-1.53641596763108	0.952817396203404	-0.206955516393209	14586	38.31	12	46358188	46372773	protein_coding	ENSG00000134294	SLC38A2	54407
ENSG00000279359	2.9434288482425	8.67890051448462	-1.54329036547306	0.952505976347592	-1.56001453290864	4412	48.53	10	80249710	80254121	TEC	ENSG00000279359	NA	NA
ENSG00000119048	7758.398264166	8925.25196039532	-1.53569271560371	0.952371239545797	-0.202134061019778	20640	41.25	5	134371469	134392108	protein_coding	ENSG00000119048	UBE2B	7320
ENSG00000005302	4993.69841073188	5804.88451514198	-1.59797108387326	0.952342200699621	-0.217158671966289	17614	42.85	X	11758159	11775772	protein_coding	ENSG00000005302	MSL3	10943
ENSG00000101916	8873.45553609321	10674.4862506184	-1.59768889814444	0.952076447055228	-0.266598697388008	16550	41.32	X	12906620	12923169	protein_coding	ENSG00000101916	TLR8	51311
ENSG00000118855	2958.26623759593	3438.85616022526	-1.53509675513341	0.95198093863825	-0.217176874643188	97522	40.83	3	158732198	158829719	protein_coding	ENSG00000118855	MFSD1	64747
ENSG00000107521	8869.23687633258	11357.746580376	-1.67551088561483	0.951763167387123	-0.356794743979029	30738	49.71	10	98416198	98446935	protein_coding	ENSG00000107521	HPS1	3257
ENSG00000101608	4126.75923322216	4740.03136793068	-1.67572778701509	0.9514496052622	-0.199887336524058	8756	38.81	18	3247481	3256236	protein_coding	ENSG00000101608	MYL12A	10627
ENSG00000185262	7265.48167954426	8237.34368540153	-1.5966975829866	0.951103353229371	-0.181120735952018	5951	58.09	17	76265348	76271298	protein_coding	ENSG00000185262	UBALD2	283991
ENSG00000112077	99.1122127129938	226.367658661825	-1.59594264213797	0.950335555112483	-1.19153310993039	31665	39.67	6	49605175	49636839	protein_coding	ENSG00000112077	RHAG	6005
